"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"sent_friend_request_prompt"	"You sent a Friend Request."	"フレンド申請を送りました"	"Tu as envoyé une Invitation."	"Has enviado una solicitud de amistad."	"Du hast eine Freundschaftsanfrage geschickt."	"Hai inviato una richiesta di amicizia."	"친구신청을 보냈습니다."	"傳送了1件朋友申請"	"Você enviou um pedido de amizade."
"share_title"	"Share"	"共有"	"Partager"	"Compartir"	"Teilen"	"Condividi"	"공유"	"分享"	"Compartilhar"
"your_friend_code_desc"	"Others can input this Trainer Code to add you as a friend."	"このコードを入力してもらうとフレンドになれます"	"D’autres Dresseurs peuvent utiliser ce Code de Dresseur pour t’ajouter comme ami."	"Otros jugadores pueden usar este código de Entrenador para añadirte a su lista de amigos."	"Andere Trainer können diesen Trainercode eingeben, um dich als Freund hinzuzufügen."	"Gli altri giocatori possono usare questo codice Allenatore per aggiungerti alla loro lista amici."	"이 코드를 상대방이 입력하면 친구가 됩니다."	"其他訓練家輸入此代碼後，即可將你追加為朋友"	"Outros podem usar este código de Treinador para se tornarem seus amigos."
"social_add_friend_qr"	"QR Code"	"二次元バーコード"	"QR code"	"Código QR"	"QR Code"	"QR Code"	"QR 코드"	"二維條碼"	"Código QR"
"social_add_friend_facebook"	"Import friends from Facebook"	"Facebookに接続"	"Importer des amis de Facebook"	"Importa amigos de Facebook."	"Freunde von Facebook importieren"	"Importa amici da Facebook"	"Facebook에 연결"	"透過Facebook新增朋友"	"Conecte-se ao Facebook"
"friend_sent_you_gift_notification"	"{0} sent you a Gift!"	"{0}さんからギフトが贈られてきました！"	"{0} t’a envoyé un Cadeau !"	"¡{0} te ha enviado un regalo!"	"{0} hat dir ein Geschenk geschickt!"	"{0} ti ha inviato un pacco amicizia!"	"{0}님이 선물을 보내줬습니다!"	"收到 {0} 傳送的友情禮物了！"	"{0} enviou um presente para você!"
"select_giftbox_to_send_prompt"	"Which Gift do you want to send?"	"どのギフトを贈りますか？"	"Quel Cadeau veux-tu envoyer ?"	"¿Qué regalo quieres enviar?"	"Welches Geschenk möchtest du schicken?"	"Quale pacco amicizia vuoi inviare?"	"어떤 선물을 보내겠습니까?"	"要傳送哪一個友情禮物？"	"Qual presente quer enviar?"
"send_giftbox_prompt"	"Send Gift"	"ギフトを贈る"	"Envoyer ce Cadeau"	"Enviar regalo"	"Geschenk schicken"	"Invia un pacco amicizia"	"선물 보내기"	"傳送友情禮物"	"Enviar presente"
"gift_from_prompt"	"Greetings from"	"幸せのおすそ分け。"	"Bonjour de"	"Saludos desde"	"Grüße von"	"Saluti da:"	"Greetings from"	"祝你有愉快的一天！"	"Saudações de"
"friend_request_accepted_prompt"	"You and {0} are now friends!"	"{0}さんとフレンドになりました！"	"{0} est désormais ton ami."	"¡Comienza tu amistad con {0}!"	"{0} und du seid jetzt Freunde!"	"Tu e {0} ora siete amici."	"{0}님과 친구가 되었습니다!"	"和 {0} 成為朋友了！"	"Sua amizade com {0} começou!"
"error_opened_daily_max_number_of_gifts"	"Daily limit reached. Come back tomorrow to open more Gifts."	"一日に開くことができる上限数に達しました"	"La limite quotidienne est atteinte. Reviens demain pour ouvrir d’autres Cadeaux."	"Límite diario alcanzado. Vuelve mañana para abrir más regalos."	"Tageslimit erreicht. Komm morgen wieder, um mehr Geschenke zu öffnen."	"Non puoi aprire altri pacchi amicizia. Per oggi hai raggiunto il limite, torna domani."	"하루에 열 수 있는 한계에 도달했습니다"	"開啟次數已達本日上限"	"Limite diário alcançado. Volte amanhã para abrir mais presentes."
"remove_friend_confirmation"	"Are you sure you want to remove this friend?"	"本当にフレンドを削除してもいいですか？"	"Veux-tu vraiment enlever cet ami de ta liste ?"	"¿Seguro que quieres eliminar a esta persona?"	"Möchtest du diesen Freund wirklich entfernen?"	"Vuoi davvero rimuovere questa persona dalla lista amici?"	"정말로 친구를 삭제해도 됩니까?"	"確定要刪除這個朋友嗎？"	"Quer mesmo remover este amigo?"
"error_already_sent_gift_today"	"You already sent this Trainer a Gift today."	"今日すでにギフトを贈っています"	"Tu as déjà envoyé un Cadeau à ce Dresseur aujourd'hui."	"Ya has enviado un regalo a esta persona hoy."	"Du hast diesem Trainer heute schon ein Geschenk geschickt."	"Hai già inviato un pacco amicizia a questo Allenatore oggi."	"오늘은 이미 선물을 보냈습니다"	"今天已經傳送過友情禮物了"	"Já enviou um presente para este Treinador hoje."
"error_friend_has_unopened_gift"	"Your friend still has an unopened Gift from you."	"フレンドがまだギフトを開けていません"	"Ton ami a encore un Cadeau non ouvert."	"Esta persona aún tiene un regalo tuyo sin abrir."	"Dein Freund hat noch ein ungeöffnetes Geschenk von dir."	"Il tuo amico non ha ancora aperto il pacco amicizia che gli hai inviato."	"상대방이 선물을 열지 않았습니다"	"對方尚未開啟上次傳送的友情禮物"	"Esta pessoa ainda tem um presente seu fechado."
"error_player_not_found"	"Invalid Trainer Code; Trainer not found."	"トレーナーコードが無効です：トレーナーがみつかりません"	"Code de Dresseur invalide. Joueur non trouvé."	"No se ha encontrado ningún jugador con este código de Entrenador."	"Spieler nicht gefunden"	"Non è stato trovato alcun giocatore con questo codice Allenatore."	"트레이너 코드가 무효합니다: 트레이너를 찾을 수 없습니다"	"錯誤訓練家代碼：找不到此訓練家"	"Código de Treinador inválido. Treinador não encontrado."
"error_friend_request_does_not_exist"	"Friend Request does not exist."	"フレンド申請がみつかりません"	"Invitation inexistante"	"Esta solicitud de amistad no existe."	"Freundschaftsanfrage existiert nicht."	"Questa richiesta di amicizia è inesistente."	"친구신청을 찾을 수 없습니다."	"朋友申請不存在"	"O pedido de amizade não existe."
"error_senders_friends_list_full"	"{0}'s Friend List is full."	"{0}さんのフレンドリストはいっぱいです"	"La Liste d’amis de {0} est pleine."	"La lista de amigos de {0} está llena."	"Die Freundesliste von {0} ist voll."	"La lista amici di {0} è piena."	"{0}님의 친구리스트는 가득찼습니다."	"{0} 的朋友名單已滿"	"A lista de amigos de {0} está cheia."
"error_friends_list_full"	"Your Friend List is full."	"フレンドリストがいっぱいです！"	"Ta Liste d’amis est pleine."	"Tu lista de amigos está llena."	"Deine Freundesliste ist voll."	"La tua lista amici è piena."	"친구리스트가 가득찼습니다!"	"你的朋友名單滿了！"	"Sua lista de amigos está cheia."
"friend_request_declined_prompt"	"You declined this Friend Request."	"申請を拒否しました"	"Invitation refusée."	"Has rechazado esta solicitud de amistad."	"Du hast diese Freundschaftsanfrage abgelehnt."	"Hai rifiutato questa richiesta di amicizia."	"신청을 거부했습니다."	"已回絕朋友申請"	"Você rejeitou este pedido de amizade."
"error_get_friends_requests_failed"	"Failed to get Friend Requests. Try again later."	"フレンド申請が取得できませんでした"	"Impossible de recevoir des Invitations. Réessaye plus tard."	"No se han podido obtener las solicitudes de amistad. Vuelve a intentarlo más tarde."	"Freundschaftsanfragen konnten nicht aufgerufen werden. Versuche es später noch mal."	"Impossibile ricevere richieste di amicizia. Riprova più tardi."	"친구신청을 취득 못했습니다."	"無法取得朋友申請，請稍後再試一次"	"Erro: não foi possível buscar pedidos de amizade."
"error_get_friends_list_failed"	"Failed to get Friend List. Try again later."	"フレンドリストが取得できませんでした"	"Impossible d’obtenir la Liste d’amis. Réessaye plus tard."	"No se ha podido obtener la lista de amigos. Vuelve a intentarlo más tarde."	"Freundesliste konnte nicht aufgerufen werden. Versuche es später noch mal."	"Impossibile accedere a lista amici. Riprova più tardi."	"친구리스트를 취득 못했습니다."	"無法取得朋友名單，請稍後再試一次"	"Erro: não foi possível buscar a lista de amigos."
"error_send_friend_request_title"	"Failed to send a Friend Request to {0}."	"{0}さんにフレンド申請を送ることができませんでした"	"Impossible d’envoyer une invitation à {0}."	"No se ha podido enviar una solicitud de amistad a {0}."	"Freundschaftsanfrage an {0} konnte nicht verschickt werden."	"Impossibile inviare una richiesta di amicizia a {0}."	"{0}님에게 친구신청을 보낼 수 없습니다"	"給 {0} 的朋友申請傳送失敗"	"Não foi possível enviar um pedido de amizade para {0}."
"error_player_already_friend"	"You're already friends with this Trainer."	"すでにフレンドになっています"	"Ce Dresseur est déjà un ami."	"Esta persona ya está en tu lista de amigos."	"Dieser Trainer ist bereits dein Freund."	"Tu e questo Allenatore siete già amici."	"이미 친구입니다."	"你和這個訓練家已經是朋友了"	"Este jogador já é seu amigo."
"error_friend_request_max_friends"	"Your Friend List is full."	"フレンドリストがいっぱいです！"	"Ta Liste d’amis est pleine."	"Tu lista de amigos está llena."	"Deine Freundesliste ist voll."	"La tua lista amici è piena."	"친구리스트가 가득 찼습니다."	"你的朋友名單滿了！"	"Sua lista de amigos está cheia."
"error_friend_request_friend_inbox_full"	"This Trainer has too many pending Friend Requests."	"相手のフレンド申請がいっぱいです"	"Ce Dresseur a trop d’Invitations d’amis en attente."	"Esta persona tiene demasiadas solicitudes de amistad pendientes."	"Dieser Trainer hat zu viele ausstehende Freundschaftsanfragen."	"Questo Allenatore ha troppe richieste di amicizia in sospeso."	"상대의 친구신청이 가득 찼습니다."	"對方有太多未開啟的朋友申請"	"Este Treinador tem muitos pedidos de amizade pendentes."
"error_max_friend_requests_sent"	"You've sent all the Friend Requests you can right now."	"フレンド申請数の上限に達しました"	"Le nombre maximal d’Invitations envoyées est atteint."	"Ya has enviado todas las solicitudes de amistad disponibles en este momento."	"Du hast momentan die maximale Anzahl an Freundschaftsanfragen verschickt."	"Hai inviato tutte le richieste di amicizia a tua disposizione per il momento."	"친구신청 수의 상한에 도달했습니다."	"朋友申請數已達上限"	"Você enviou todos os pedidos de amizade disponíveis no momento."
"sent_you_a_gift"	"{0} sent you a Gift!"	"{0}さんからギフトが届いています！"	"{0} t’a envoyé un Cadeau !"	"¡{0} te ha enviado un regalo!"	"{0} hat dir ein Geschenk geschickt!"	"{0} ti ha inviato un pacco amicizia!"	"{0}님의  선물이 도착했습니다!"	"收到 {0} 送來的友情禮物了！"	"{0} enviou um presente para você!"
"item_friend_gift_box_name"	"Gift"	"ギフト"	"Cadeau"	"Regalo"	"Geschenk"	"Pacco amicizia"	"선물"	"友情禮物"	"Presente"
"item_friend_gift_box_desc"	"A box that you can send to a friend. Contains a variety of useful items."	"贈られたフレンドだけが開けることができるギフト。冒険に必要なアイテムの詰め合わせ。"	"Une boîte que tu peux envoyer à un ami. Elle contient divers objets utiles."	"Una caja que puedes enviar a un amigo. Contiene una variedad de artículos útiles."	"Eine Box, die nur von einem Freund geöffnet werden kann. Enthält eine Auswahl nützlicher Items."	"Un pacco che puoi inviare a un amico. Contiene diversi strumenti utili."	"받은 친구만이 열 수 있는 상자. 모험에 필요한 아이템이 들어있다."	"只有收到的人才能打開的禮物。裡面裝滿了許多方便的道具。"	"Uma caixa que pode enviar a um amigo. Contém uma variedade de itens úteis."
"sent_friend_request_success"	"You sent a Friend Request to {0}!"	"{0}さんにフレンド申請を送りました！"	"Invitation envoyée à {0} !"	"¡Se ha enviado una solicitud de amistad a {0}!"	"Du hast eine Freundschaftsanfrage an {0} verschickt!"	"Hai inviato una richiesta di amicizia a {0}!"	"{0}님에게 친구신청을 보냈습니다!"	"已向 {0} 傳送朋友申請！"	"Enviou um pedido de amizade para {0}!"
"FRIENDSLIST_SORT_LASTACTIVITY"	"Last Activity"	"最近のポケ活"	"Dernière activité"	"Última actividad"	"Letzte Aktivität"	"Ultima attività"	"마지막 활동"	"最近的活動"	"Última atividade"
"FRIENDSLIST_SORT_LEVEL"	"Friendship Level"	"仲良し度"	"Niveau d’amitié"	"Nivel de amistad"	"Freundschaftslevel"	"Livello di amicizia"	"우정레벨"	"友誼等級"	"Nível de amizade"
"FRIENDSLIST_SORT_ALPHABET"	"Name"	"名前"	"Nom"	"Nombre"	"Name"	"Nome"	"이름"	"名字"	"Nome"
"giftbox_log_opened"	"Opened a Gift from {0}."	"{0}さんからのギフトを開けた！"	"Cadeau offert par {0} ouvert."	"He abierto un regalo de {0}."	"Geschenk von {0} geöffnet."	"Hai aperto un pacco amicizia da parte di {0}."	"{0}님이 보내준 선물을 열었다!"	"打開來自 {0} 的友情禮物！"	"Abriu um presente de {0}."
"today"	"Today"	"今日"	"Aujourd’hui"	"Hoy"	"Heute"	"Oggi"	"오늘"	"今天"	"Hoje"
"yesterday"	"Yesterday"	"昨日"	"Hier"	"(Ayer)"	"Gestern"	"Ieri"	"어제"	"昨天"	"Ontem"
"two_plus_days_ago"	"2+ days ago"	"2日以上前"	"Il y a 2 jours ou plus"	"(2 o + días)"	"Vor mehr als 2 Tagen"	"(2+ giorni fa)"	"2일전 이상"	"2天前"	"Há mais de 2 dias"
"manage_items_button"	"Manage Items"	"道具整理"	"Gestion des objets"	"Gestionar objetos"	"Items verwalten"	"Organizza strumenti"	"도구"	"整理道具"	"Gerenciar itens"
"upgrade_item_bag_button"	"Upgrade Item Bag"	"バッグ アップグレード"	"Agrandir le Sac d’objets"	"Aumentar espacio para objetos"	"Beutel erweitern"	"Amplia spazio Borsa"	"가방 업그레이드"	"升級包包"	"Upgrade a Bolsa de itens"
"error_open_gift_bag_full"	"Please make space or upgrade your Item Bag before opening the gift."	"持ち物がいっぱいです"	"S’il te plaît, fais de la place ou agrandis ton Sac d’objets avant d’ouvrir le cadeau."	"Haz sitio en tu Bolsa o aumenta su tamaño antes de abrir el regalo."	"Mach Platz oder erweitere den Platz mit Beutel-Plus, bevor du das Geschenk öffnest."	"Amplia o aggiorna la tua Borsa prima di aprire il regalo."	"가방이 가득찼습니다."	"請在開禮物之前清出包包的空間或升級包包"	"Aumente o espaço da sua Bolsa antes de abrir o presente."
"friend_opened_your_gift"	"{0} received {1} items from your Gift!"	"{0}さんがギフトを開けてアイテムを{1}個受け取りました！"	"{0} a reçu {1} objets de ton Cadeau."	"¡{0} ha recibido {1} objetos de tu regalo!"	"{0} hat {1} Items aus deinem Geschenk erhalten!"	"{0} ha trovato {1} strumenti nel tuo pacco amicizia!"	"{0}님이 선물을 열어서 아이템 {1}개 받았습니다!"	"你的友情禮物讓 {0} 獲得了 {1} 個道具！"	"{0} recebeu {1} itens do seu presente!"
"friend_opened_your_gift_singular"	"{0} received 1 item from your Gift."	"{0}さんがギフトを開けてアイテムを1個受け取りました！"	"{0} a reçu 1 objet de ton Cadeau."	"{0} ha recibido 1 objeto de tu regalo."	"{0} hat 1 Item aus deinem Geschenk erhalten."	"{0} ha trovato uno strumento nel tuo pacco amicizia."	"{0}님이 선물을 열어서 아이템 1개 받았습니다!"	"你的友情禮物讓 {0} 獲得了1個道具！"	"{0} recebeu 1 item do seu presente."
"social_remove_friend"	"Remove Friend"	"フレンド削除"	"Retirer cet ami"	"Eliminar amigo"	"Freund entfernen"	"Rimuovi da lista amici"	"친구 삭제"	"刪除朋友"	"Remover amigo"
"send_gift_prompt"	"Send a Gift"	"ギフトを贈る"	"Envoyer un Cadeau"	"Enviar un regalo"	"Geschenk schicken"	"Invia un pacco amicizia"	"선물 보내기"	"傳送友情禮物"	"Enviar um presente"
"friendship_strengthened"	"Friendship level with {0} increased!"	"{0}さんとの仲良し度が高まった"	"Niveau d’amitié renforcé avec {0}."	"¡Tu nivel de amistad con {0} ha aumentado!"	"Freundschaftslevel mit {0} wurde erhöht!"	"Il tuo livello di amicizia con {0} è aumentato!"	"{0}님과의 우정레벨이 올랐다!"	"和 {0} 的友誼等級提升了！"	"Nível de amizade com {0} aumentado!"
"trade_select_header"	"Pokémon to Trade"	"交換に出すポケモン"	"Pokémon à échanger"	"Pokémon a intercambiar"	"Pokémon zum Tauschen"	"Pokémon da scambiare"	"교환에 내보낼 포켓몬"	"可交換的寶可夢"	"Pokémon para trocar"
"trade_exclusion_reason_mythical"	"Mythical Pokémon can't be traded."	"幻のポケモンは交換できません"	"Tu ne peux pas échanger un Pokémon fabuleux."	"No se pueden intercambiar Pokémon singulares."	"Mysteriöse Pokémon können nicht getauscht werden."	"I Pokémon misteriosi non possono essere scambiati."	"환상의 포켓몬은 교환할 수 없습니다."	"不能交換幻之寶可夢"	"Não é possível trocar Pokémon Míticos."
"trade_exclusion_reason_slashed"	"This Pokémon cannot be traded."	"このポケモンは交換できません"	"Tu ne peux pas échanger ce Pokémon."	"Este Pokémon no se puede intercambiar."	"Dieses Pokémon kann nicht getauscht werden."	"Questo Pokémon non può essere scambiato."	"이 포켓몬은 교환할 수 없습니다"	"不能交換這隻寶可夢"	"Não é possível trocar este Pokémon."
"trade_exclusion_reason_disabled"	"This Pokémon can't be traded due to an error."	"エラーが発生したため交換できません"	"Une erreur empêche l’échange de ce Pokémon."	"Se ha producido un error que impide el intercambio de este Pokémon."	"Dieses Pokémon kann aufgrund eines Fehlers nicht getauscht werden."	"Si è verificato un errore che impedisce lo scambio di questo Pokémon."	"에러가 발생하여 교환할 수 없습니다."	"發生錯誤，無法傳送這隻寶可夢"	"Houve um erro. Este Pokémon não pode ser trocado."
"share_my_friend_code_message"	"Let's be friends in Pokémon GO! My Trainer Code is {0}!"	"Pokémon GO フレンドになりましょう！わたしのトレーナーコードは{0}です！"	"Soyons amis dans Pokémon GO ! Mon Code de Dresseur est : {0}."	"¡Comencemos una buena amistad en Pokémon GO! ¡Mi código de Entrenador es {0}!"	"Lass uns Freunde in Pokémon GO sein! Mein Trainercode ist {0}!"	"Diventiamo amici su Pokémon GO! Il mio codice Allenatore è {0}!"	"Pokémon GO 친구가 됩시다! 제 트레이너 코드는 {0}입니다!"	"請加我為Pokémon GO的朋友！我的訓練家代碼是 {0} ！"	"Vamos começar uma amizade no Pokémon GO! Meu código de Treinador é {0}!"
"friendship_milestone_notification_toast"	"You and {0} are now Good Friends!"	"{0}さんと「友達」になった！"	"{0} est désormais un Bon ami."	"¡Ahora {0} y tú tenéis una buena amistad!"	"{0} und du seid jetzt Gute Freunde!"	"Tu e {0} ora siete buoni amici!"	"{0}님과 굳 프렌드가 되었습니다!"	"和 {0} 成為好朋友了！"	"Você e {0} têm agora uma bela amizade!"
"friendship_detail_unlock_reqs_singular"	"If you keep playing together for {0} more day, you can become {1}s!"	"あと{0}日一緒にプレイして{1}に！"	"Si vous jouez ensemble pendant {0} jour, il pourra devenir ton {1} !"	"Si seguís jugando codo con codo durante {0} día más, ¡podréis llegar a tener una {1}s!"	"Wenn ihr noch {0} Tag länger zusammenspielt, werdet ihr {1}!"	"Se giocate insieme per altri {0} giorni, diventerete {1}!"	"앞으로 {0}일 함께 플레이해서 {1}(으)로!"	"再一起玩 {0} 天，就能成為 {1}！"	"Se continuarem jogando juntos por mais {0} dia, poderão ter uma {1}!"
"friendship_detail_unlock_reqs_plural"	"If you keep playing together for {0} more days, you can become {1}s!"	"あと{0}日間一緒にプレイして{1}に！"	"Si vous jouez ensemble pendant {0} jours, il pourra devenir ton {1} !"	"Si seguís jugando codo con codo durante {0} días más, ¡podréis llegar a tener una {1}s!"	"Wenn ihr noch {0} Tage länger zusammenspielt, wird dieser Trainer dein {1}!"	"Se giocate insieme per altri {0} giorni, diventerete {1}!"	"앞으로 {0}일 함께 플레이해서 {1}(으)로!"	"再一起玩 {0} 天，就能成為 {1}！"	"Se continuarem jogando juntos por mais {0} dias, poderão ter uma {1}!"
"friendship_detail_capabilities"	"Bonus"	"ボーナス"	"Bonus"	"Bonus"	"Vorteile"	"Bonus"	"보너스"	"獎勵"	"O que pode fazer"
"friendship_detail_just_friends"	"If you increase your Friendship level, you'll earn bonuses! Tap a heart to see more."	"仲良し度が上がるともらえるボーナスがあります。ハートアイコンをタップして見てみましょう。"	"Si tu augmentes ton Niveau d’amitié, tu obtiendras des bonus. Touche un cœur pour en savoir plus."	"Si aumentas tu nivel de amistad, ¡ganarás bonus! Toca un corazón para ver más información."	"Wenn ihr euer Freundschaftslevel erhöht, könnt ihr bestimmte Vorteile freischalten! Tippe auf ein Herz, um mehr zu erfahren."	"Se aumenti il ​​livello di amicizia, puoi sbloccare dei bonus! Tocca un cuore per vederli."	"우정레벨이 올라가면 할 수 있는 일이 늘어납니다. 하트 아이콘을 터치해봅시다."	"提升友誼等級後，將可獲得獎勵！點擊心型圖示，確認細節。"	"Se aumentar o seu nível de amizade, ganhará bônus! Toque em um coração para ver maiores informações."
"friendship_detail_trade"	"Trade"	"交換"	"Échange"	"Intercambiar"	"Tauschen"	"Scambi"	"교환"	"交換"	"Troca"
"friendship_detail_battle"	"Gym Battle / Raid Battle"	"ジムバトル・レイドバトル"	"Combat d’Arène/de Raid"	"Combate de Gimnasio/Incursión"	"Arenakampf/Raid-Kampf"	"Lotta in Palestra e Raid"	"체육관 배틀 / 레이드배틀"	"道館對戰／團體戰"	"Batalha de Ginásio/Batalha de Reide"
"raid_friendship_bonus"	"Friendship"	"仲良し度ボーナス"	"Amitié"	"Amistad"	"Freundschaft"	"Amicizia"	"우정 보너스"	"友誼"	"Amizade"
"friendship_strengthened_header"	"Friendship Level Increased"	"仲良し度が上昇"	"Niveau d’amitié renforcé"	"Nivel de amistad aumentado"	"Freundschaftslevel erhöht"	"Livello di amicizia aumentato"	"우정레벨이 상승"	"友誼等級上升"	"Amizade fortalecida"
"friendship_detail_attack_bonus"	"Attack bonus"	"アタックボーナス"	"Bonus d’attaque"	"Bonus de ataque"	"Angriffsbonus"	"Ottieni un bonus attacco"	"어택 보너스"	"攻擊獎勵"	"Bônus de ataque"
"friendship_detail_raid_bonus"	"Raid bonus"	"レイドボーナス"	"Bonus de Raid"	"Bonus de incursión"	"Raid-Bonus"	"Ottieni un bonus raid"	"레이드 보너스"	"團體戰獎勵"	"Bônus de Reide"
"gym_battle_victory_subtitle_alone"	"You defeated this Gym"	"ジムをやぶった"	"Tu as conquis cette Arène"	"Has derrotado este Gimnasio."	"Du hast diese Arena besiegt."	"Hai sconfitto questa Palestra"	"체육관에서 이겼다"	"踢館成功"	"Você derrotou este Ginásio."
"gym_battle_victory_subtitle_with_friend"	"You defeated this Gym with"	"ジムを一緒にやぶった"	"Tu as conquis cette Arène avec"	"Has derrotado este Gimnasio con:"	"Du hast diese Arena besiegt mit"	"Hai sconfitto questa Palestra con:"	"체육관에서 함께 이겼다"	"一起踢館成功："	"Você derrotou este Ginásio com:"
"friendship_level_0"	"Friend"	"知り合い"	"Ami"	"amistad"	"Freund"	"Amici"	"프렌드"	"朋友"	"Amizade"
"friendship_level_1"	"Good Friend"	"友達"	"Bon ami"	"buena amistad"	"Guter Freund"	"buoni amici"	"굳 프렌드"	"好朋友"	"bela amizade"
"friendship_level_2"	"Great Friend"	"仲良し"	"Grand ami"	"gran amistad"	"Superfreund"	"grandi amici"	"그레이트 프렌드"	"給力好朋友"	"grande amizade"
"friendship_level_3"	"Ultra Friend"	"親友"	"Excellent ami"	"ultraamistad"	"Hyperfreund"	"amici per la pelle"	"울트라 프렌드"	"麻吉好朋友"	"ultra-amizade"
"friendship_level_4"	"Best Friend"	"大親友"	"Meilleur ami"	"amistad sin igual"	"Bester Freund"	"migliori amici"	"베스트 프렌드"	"正港好朋友"	"amizade sem igual"
"friendship_detail_ball_singular"	"+{0} Ball"	"ボール +{0}"	"+{0} Poké Ball"	"+{0} Ball"	"+{0} Ball"	"+{0} Poké Ball"	"볼+ {0}"	"+{0} 顆球"	"+{0} Poké Bola"
"friendship_detail_ball_plural"	"+{0} Balls"	"ボール +{0}"	"+{0} Poké Balls"	"+{0} Balls"	"+{0} Bälle"	"+{0} Poké Ball"	"볼+ {0}"	"+{0} 顆球"	"+{0} Poké Bolas"
"friendship_milestone_notification_toast_3"	"You and {0} are now Great Friends!"	"{0}さんと「仲良し」になった！"	"{0} est désormais un Grand ami."	"¡Ahora {0} y tú tenéis una gran amistad!"	"{0} und du seid jetzt Superfreunde!"	"Tu e {0} ora siete grandi amici!"	"{0}님과 그레이트 프렌드가 되었습니다!"	"和 {0} 成為給力好朋友了！"	"Você e {0} têm agora uma grande amizade!"
